Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Function,"_pcre2_auto_possessify_8(int *,PCRE2_UCHAR8 *,BOOL,const compile_block_8 *)",auto_possess-pre.c,8,0,0,4,827,3,107,18,117,9,55,20,5,19,0
Function,"_pcre2_check_escape_8(int *,PCRE2_SPTR8 *,PCRE2_SPTR8,uint32_t *,int *,uint32_t,BOOL,compile_block_8 *)",compile-pre.c,15,0,0,7,2881,3,92,74,148,54,292,285,6,281,0
Function,"_pcre2_extuni_8(int *,uint32_t,PCRE2_SPTR8,PCRE2_SPTR8,PCRE2_SPTR8,BOOL,int *)",extuni-pre.c,13,0,0,1,9129,4,24,24,27,7,17,9,6,7,0
Function,"_pcre2_find_bracket_8(int *,PCRE2_SPTR8,BOOL,int)",find_bracket-pre.c,7,0,0,1,32,2,87,15,92,9,20,18,5,17,0
Function,"_pcre2_is_newline_8(int *,PCRE2_SPTR8,uint32_t,PCRE2_SPTR8,uint32_t *,BOOL)",newline-pre.c,9,0,0,2,56,2,20,13,22,8,21,16,3,16,0
Function,"_pcre2_jit_free_8(int *,void *,pcre2_memctl *)",jit_compile-pre.c,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0
Function,"_pcre2_jit_free_rodata_8(int *,void *,void *)",jit_compile-pre.c,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0
Function,"_pcre2_jit_get_size_8(int *,void *)",jit_compile-pre.c,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,_pcre2_jit_get_target_8(int *),jit_compile-pre.c,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"_pcre2_memctl_malloc_8(int *,size_t,pcre2_memctl *)",context-pre.c,12,0,0,5,3,0,4,4,4,1,2,0,1,0,0
Function,"_pcre2_ord2utf_8(int *,uint32_t,PCRE2_UCHAR8 *)",ord2utf-pre.c,11,0,0,1,6,1,4,4,4,3,2,2,2,2,0
Function,"_pcre2_script_run_8(int *,PCRE2_SPTR8,PCRE2_SPTR8,BOOL)",script_run-pre.c,10,0,0,1,5911,4,40,32,46,27,88,81,6,79,0
Function,"_pcre2_strcmp_8(int *,PCRE2_SPTR8,PCRE2_SPTR8)",string_utils-pre.c,4,0,0,1,3,0,3,3,4,3,3,3,2,3,0
Function,"_pcre2_strcmp_c8_8(int *,PCRE2_SPTR8,const char *)",string_utils-pre.c,4,0,0,1,3,0,3,3,4,3,3,3,2,3,0
Function,"_pcre2_strcpy_c8_8(int *,PCRE2_UCHAR8 *,const char *)",string_utils-pre.c,3,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"_pcre2_strlen_8(int *,PCRE2_SPTR8)",string_utils-pre.c,6,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"_pcre2_strncmp_8(int *,PCRE2_SPTR8,PCRE2_SPTR8,size_t)",string_utils-pre.c,7,0,0,1,3,0,3,3,3,3,3,3,2,3,0
Function,"_pcre2_strncmp_c8_8(int *,PCRE2_SPTR8,const char *,size_t)",string_utils-pre.c,6,0,0,1,3,0,3,3,3,3,3,3,2,3,0
Function,"_pcre2_study_8(int *,pcre2_real_code_8 *)",study-pre.c,8,0,0,5,19,1,9,7,10,7,12,12,3,12,0
Function,"_pcre2_valid_utf_8(int *,PCRE2_SPTR8,size_t,size_t *)",valid_utf-pre.c,8,0,0,2,135,2,36,28,43,35,189,189,3,189,0
Function,"_pcre2_was_newline_8(int *,PCRE2_SPTR8,uint32_t,PCRE2_SPTR8,uint32_t *,BOOL)",newline-pre.c,8,0,0,2,104,2,21,14,23,8,21,16,3,16,0
Function,"_pcre2_xclass_8(int *,uint32_t,PCRE2_SPTR8,BOOL)",xclass-pre.c,12,0,0,1,475,3,82,45,106,38,370,357,5,356,0
Function,"main(int,char **)",pcre2test-pre.c,42,0,0,99,999999999,10,73,72,105,47,169,167,4,163,0
Function,"main(int,char **)",pcre2grep-pre.c,70,0,0,83,999999999,21,122,121,152,64,155,146,7,132,0
Function,"pcre2_callout_enumerate_8(int *,const pcre2_code_8 *,int (*)(int *, pcre2_callout_enumerate_block_8 *, void *),void *)",pattern_info-pre.c,11,0,0,8,16,1,87,10,89,14,48,48,3,48,0
Function,"pcre2_code_copy_8(int *,const pcre2_code_8 *)",compile-pre.c,9,0,0,4,4,1,4,4,4,3,2,2,1,2,0
Function,"pcre2_code_copy_with_tables_8(int *,const pcre2_code_8 *)",compile-pre.c,7,0,0,7,4,1,4,4,4,4,3,3,1,3,0
Function,"pcre2_code_free_8(int *,pcre2_code_8 *)",compile-pre.c,14,0,0,2,9,1,6,6,6,1,0,0,4,0,0
Function,"pcre2_compile_8(int *,PCRE2_SPTR8,size_t,uint32_t,int *,size_t *,pcre2_compile_context_8 *)",compile-pre.c,49,0,0,84,999999999,17,92,81,112,50,141,141,7,137,1
Function,"pcre2_compile_context_copy_8(int *,pcre2_compile_context_8 *)",context-pre.c,5,0,0,3,2,0,2,2,2,1,1,0,1,0,0
Function,"pcre2_compile_context_create_8(int *,pcre2_general_context_8 *)",context-pre.c,5,0,0,2,3,0,3,3,3,1,1,0,1,0,0
Function,"pcre2_compile_context_free_8(int *,pcre2_compile_context_8 *)",context-pre.c,6,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_config_8(int *,uint32_t,void *)",config-pre.c,9,0,0,4,34,2,35,7,35,19,153,153,2,153,0
Function,"pcre2_convert_context_copy_8(int *,pcre2_convert_context_8 *)",context-pre.c,5,0,0,3,2,0,2,2,2,1,1,0,1,0,0
Function,"pcre2_convert_context_create_8(int *,pcre2_general_context_8 *)",context-pre.c,4,0,0,2,3,0,3,3,3,1,1,0,1,0,0
Function,"pcre2_convert_context_free_8(int *,pcre2_convert_context_8 *)",context-pre.c,5,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_converted_pattern_free_8(int *,PCRE2_UCHAR8 *)",convert-pre.c,4,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_dfa_match_8(int *,const pcre2_code_8 *,PCRE2_SPTR8,size_t,size_t,uint32_t,pcre2_match_data_8 *,pcre2_match_context_8 *,int *,size_t)",dfa_match-pre.c,57,0,0,51,999999999,11,89,84,151,49,102,101,8,97,0
Function,"pcre2_general_context_copy_8(int *,pcre2_general_context_8 *)",context-pre.c,5,0,0,3,2,0,2,2,2,1,1,0,1,0,0
Function,"pcre2_general_context_create_8(int *,void *(*)(int *, size_t, void *),void (*)(int *, void *, void *),void *)",context-pre.c,5,0,0,5,8,1,4,4,4,1,1,0,1,0,0
Function,"pcre2_general_context_free_8(int *,pcre2_general_context_8 *)",context-pre.c,5,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_get_error_message_8(int *,int,PCRE2_UCHAR8 *,size_t)",error-pre.c,7,0,0,2,34,2,9,9,9,6,9,9,2,7,0
Function,"pcre2_get_mark_8(int *,pcre2_match_data_8 *)",match_data-pre.c,3,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_get_ovector_count_8(int *,pcre2_match_data_8 *)",match_data-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_get_ovector_pointer_8(int *,pcre2_match_data_8 *)",match_data-pre.c,5,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_get_startchar_8(int *,pcre2_match_data_8 *)",match_data-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_jit_compile_8(int *,pcre2_code_8 *,uint32_t)",jit_compile-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_jit_free_unused_memory_8(int *,pcre2_general_context_8 *)",jit_compile-pre.c,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_jit_match_8(int *,const pcre2_code_8 *,PCRE2_SPTR8,size_t,size_t,uint32_t,pcre2_match_data_8 *,pcre2_match_context_8 *)",jit_compile-pre.c,9,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_jit_stack_assign_8(int *,pcre2_match_context_8 *,pcre2_jit_callback_8,void *)",jit_compile-pre.c,4,0,0,0,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_jit_stack_create_8(int *,size_t,size_t,pcre2_general_context_8 *)",jit_compile-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_jit_stack_free_8(int *,pcre2_jit_stack_8 *)",jit_compile-pre.c,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_maketables_8(int *,pcre2_general_context_8 *)",maketables-pre.c,6,0,0,7,270469,5,24,24,25,1,1,0,2,0,0
Function,"pcre2_match_8(int *,const pcre2_code_8 *,PCRE2_SPTR8,size_t,size_t,uint32_t,pcre2_match_data_8 *,pcre2_match_context_8 *)",match-pre.c,68,0,0,63,1144842396,11,103,93,163,48,112,105,9,103,0
Function,"pcre2_match_context_copy_8(int *,pcre2_match_context_8 *)",context-pre.c,5,0,0,3,2,0,2,2,2,1,1,0,1,0,0
Function,"pcre2_match_context_create_8(int *,pcre2_general_context_8 *)",context-pre.c,5,0,0,2,3,0,3,3,3,1,1,0,1,0,0
Function,"pcre2_match_context_free_8(int *,pcre2_match_context_8 *)",context-pre.c,6,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_match_data_create_8(int *,uint32_t,pcre2_general_context_8 *)",match_data-pre.c,8,0,0,3,4,1,3,3,3,1,1,0,1,0,0
Function,"pcre2_match_data_create_from_pattern_8(int *,const pcre2_code_8 *,pcre2_general_context_8 *)",match_data-pre.c,6,0,0,2,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_match_data_free_8(int *,pcre2_match_data_8 *)",match_data-pre.c,9,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_pattern_convert_8(int *,PCRE2_SPTR8,size_t,uint32_t,PCRE2_UCHAR8 **,size_t *,pcre2_convert_context_8 *)",convert-pre.c,9,0,0,8,134,2,14,12,22,10,17,17,2,17,0
Function,"pcre2_pattern_info_8(int *,const pcre2_code_8 *,uint32_t,void *)",pattern_info-pre.c,26,0,0,2,72,2,68,16,68,39,506,506,2,506,0
Function,"pcre2_regcomp(int *,regex_t *,const char *,int)",pcre2posix-pre.c,10,0,0,11,896,3,15,15,15,7,10,10,3,10,0
Function,"pcre2_regerror(int *,int,const regex_t *,char *,size_t)",pcre2posix-pre.c,7,0,0,2,2,0,3,3,5,1,1,0,1,0,0
Function,"pcre2_regexec(int *,const regex_t *,const char *,size_t,regmatch_t [],int)",pcre2posix-pre.c,12,0,0,8,592,3,22,15,24,13,41,41,2,41,0
Function,"pcre2_regfree(int *,regex_t *)",pcre2posix-pre.c,5,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_serialize_decode_8(int *,pcre2_code_8 **,int32_t,const uint8_t *,pcre2_general_context_8 *)",serialize-pre.c,17,0,0,9,20,1,15,15,18,12,16,16,3,16,0
Function,"pcre2_serialize_encode_8(int *,const pcre2_code_8 **,int32_t,uint8_t **,size_t *,pcre2_general_context_8 *)",serialize-pre.c,14,0,0,10,14,1,11,11,13,9,14,14,2,14,0
Function,"pcre2_serialize_free_8(int *,uint8_t *)",serialize-pre.c,4,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_serialize_get_number_of_codes_8(int *,const uint8_t *)",serialize-pre.c,6,0,0,1,5,1,5,5,5,5,4,4,1,4,0
Function,"pcre2_set_bsr_8(int *,pcre2_compile_context_8 *,uint32_t)",context-pre.c,2,0,0,3,2,0,3,2,3,1,1,0,1,0,0
Function,"pcre2_set_callout_8(int *,pcre2_match_context_8 *,int (*)(int *, pcre2_callout_block_8 *, void *),void *)",context-pre.c,4,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_character_tables_8(int *,pcre2_compile_context_8 *,const unsigned char *)",context-pre.c,3,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_compile_extra_options_8(int *,pcre2_compile_context_8 *,uint32_t)",context-pre.c,3,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_compile_recursion_guard_8(int *,pcre2_compile_context_8 *,int (*)(int *, uint32_t, void *),void *)",context-pre.c,3,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_depth_limit_8(int *,pcre2_match_context_8 *,uint32_t)",context-pre.c,4,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_glob_escape_8(int *,pcre2_convert_context_8 *,uint32_t)",context-pre.c,2,0,0,4,2,0,2,2,4,1,1,0,1,0,0
Function,"pcre2_set_glob_separator_8(int *,pcre2_convert_context_8 *,uint32_t)",context-pre.c,2,0,0,3,2,0,2,2,4,1,1,0,1,0,0
Function,"pcre2_set_heap_limit_8(int *,pcre2_match_context_8 *,uint32_t)",context-pre.c,3,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_match_limit_8(int *,pcre2_match_context_8 *,uint32_t)",context-pre.c,3,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_max_pattern_length_8(int *,pcre2_compile_context_8 *,size_t)",context-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_newline_8(int *,pcre2_compile_context_8 *,uint32_t)",context-pre.c,3,0,0,3,2,0,7,2,7,1,1,0,1,0,0
Function,"pcre2_set_offset_limit_8(int *,pcre2_match_context_8 *,size_t)",context-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_parens_nest_limit_8(int *,pcre2_compile_context_8 *,uint32_t)",context-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_recursion_limit_8(int *,pcre2_match_context_8 *,uint32_t)",context-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_recursion_memory_management_8(int *,pcre2_match_context_8 *,void *(*)(int *, size_t, void *),void (*)(int *, void *, void *),void *)",context-pre.c,5,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_set_substitute_callout_8(int *,pcre2_match_context_8 *,void (*)(int *, pcre2_substitute_callout_block_8 *, void *),void *)",context-pre.c,3,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Function,"pcre2_substitute_8(int *,const pcre2_code_8 *,PCRE2_SPTR8,size_t,size_t,uint32_t,pcre2_match_data_8 *,pcre2_match_context_8 *,PCRE2_SPTR8,size_t,PCRE2_UCHAR8 *,size_t *)",substitute-pre.c,26,0,0,23,999999999,19,137,132,178,82,762,737,9,728,0
Function,"pcre2_substring_copy_byname_8(int *,pcre2_match_data_8 *,PCRE2_SPTR8,PCRE2_UCHAR8 *,size_t *)",substring-pre.c,10,0,0,3,6,1,6,6,6,6,6,6,3,6,0
Function,"pcre2_substring_copy_bynumber_8(int *,pcre2_match_data_8 *,uint32_t,PCRE2_UCHAR8 *,size_t *)",substring-pre.c,9,0,0,5,3,0,3,3,3,3,2,2,1,2,0
Function,"pcre2_substring_free_8(int *,PCRE2_UCHAR8 *)",substring-pre.c,4,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_substring_get_byname_8(int *,pcre2_match_data_8 *,PCRE2_SPTR8,PCRE2_UCHAR8 **,size_t *)",substring-pre.c,10,0,0,3,6,1,6,6,6,6,6,6,3,6,0
Function,"pcre2_substring_get_bynumber_8(int *,pcre2_match_data_8 *,uint32_t,PCRE2_UCHAR8 **,size_t *)",substring-pre.c,7,0,0,6,3,0,3,3,3,3,2,2,1,2,0
Function,"pcre2_substring_length_byname_8(int *,pcre2_match_data_8 *,PCRE2_SPTR8,size_t *)",substring-pre.c,9,0,0,3,6,1,6,6,6,6,6,6,3,6,0
Function,"pcre2_substring_length_bynumber_8(int *,pcre2_match_data_8 *,uint32_t,size_t *)",substring-pre.c,14,0,0,2,20,1,12,12,13,10,16,16,2,16,0
Function,"pcre2_substring_list_free_8(int *,PCRE2_SPTR8 *)",substring-pre.c,4,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,"pcre2_substring_list_get_8(int *,pcre2_match_data_8 *,PCRE2_UCHAR8 ***,size_t **)",substring-pre.c,8,0,0,5,133,2,12,12,12,3,3,2,2,2,0
Function,"pcre2_substring_nametable_scan_8(int *,const pcre2_code_8 *,PCRE2_SPTR8,PCRE2_SPTR8 *,PCRE2_SPTR8 *)",substring-pre.c,11,0,0,4,21,1,10,10,10,8,12,12,4,11,0
Function,"pcre2_substring_number_from_name_8(int *,const pcre2_code_8 *,PCRE2_SPTR8)",substring-pre.c,4,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"regcomp(int *,regex_t *,const char *,int)",pcre2posix-pre.c,5,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"regerror(int *,int,const regex_t *,char *,size_t)",pcre2posix-pre.c,7,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"regexec(int *,const regex_t *,const char *,size_t,regmatch_t [],int)",pcre2posix-pre.c,7,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"regfree(int *,regex_t *)",pcre2posix-pre.c,3,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"valid_utf(PCRE2_SPTR8,size_t,size_t *)",pcre2test-pre.c,4,0,0,2,135,2,36,28,43,35,189,189,3,189,0
Static Function,"add_list_to_class(int *,uint8_t *,PCRE2_UCHAR8 **,uint32_t,compile_block_8 *,const uint32_t *,unsigned int)",compile-pre.c,8,0,0,5,4,1,4,4,4,1,0,0,3,0,0
Static Function,"add_list_to_class_internal(int *,uint8_t *,PCRE2_UCHAR8 **,uint32_t,compile_block_8 *,const uint32_t *,unsigned int)",compile-pre.c,8,0,0,2,4,1,4,4,4,1,0,0,3,0,0
Static Function,"add_name_to_table(int *,compile_block_8 *,PCRE2_SPTR8,int,unsigned int,uint32_t)",compile-pre.c,8,0,0,4,5,1,4,4,5,3,2,2,2,2,0
Static Function,"add_not_list_to_class(int *,uint8_t *,PCRE2_UCHAR8 **,uint32_t,compile_block_8 *,const uint32_t *)",compile-pre.c,7,0,0,2,6,1,6,6,6,1,0,0,2,0,0
Static Function,"add_number(int *,int,omstr *)",pcre2grep-pre.c,7,0,0,7,4,1,3,3,3,1,0,0,1,0,0
Static Function,"add_pattern(int *,char *,size_t,patstr *)",pcre2grep-pre.c,9,0,0,11,10,1,5,5,5,1,1,0,1,0,0
Static Function,"add_to_class(int *,uint8_t *,PCRE2_UCHAR8 **,uint32_t,compile_block_8 *,uint32_t,uint32_t)",compile-pre.c,9,0,0,5,1,0,1,1,1,1,0,0,0,0,0
Static Function,"add_to_class_internal(int *,uint8_t *,PCRE2_UCHAR8 **,uint32_t,compile_block_8 *,uint32_t,uint32_t)",compile-pre.c,14,0,0,6,420,3,20,20,25,6,9,6,5,4,0
Static Function,"backchars(uint8_t *,size_t,uint32_t,BOOL)",pcre2test-pre.c,6,0,0,1,7,1,8,8,11,3,2,2,3,2,0
Static Function,c_option(const char *),pcre2test-pre.c,8,0,0,9,53,2,18,14,19,5,17,6,3,5,0
