Name,File,CountInput,CountOutput,CountPathLog,CyclomaticStrict,MaxNesting,PREDICTION
"_af_adpcm_coder(int *,const int16_t *,uint8_t *,int,int,struct adpcm_state *)",modules_adpcm-pre.c,8,3,3,14,2,False
"_af_adpcm_decoder(int *,const uint8_t *,int16_t *,int,int,struct adpcm_state *)",modules_adpcm-pre.c,11,5,2,12,4,False
"_af_aifc_get_version(int *,AFfilehandle)",aiff-pre.c,0,1,0,1,0,False
"_af_aifc_recognize(int *,AFvirtualfile *)",aiff-pre.c,2,4,0,5,1,False
"_af_aiff_complete_setup(int *,AFfilesetup)",aiff-pre.c,22,6,2,28,3,True
"_af_aiff_instparam_valid(int *,AFfilehandle,AUpvlist,int)",aiff-pre.c,3,4,1,17,1,False
"_af_aiff_read_init(int *,AFfilesetup,AFfilehandle)",aiff-pre.c,3,21,2,23,3,True
"_af_aiff_recognize(int *,AFvirtualfile *)",aiff-pre.c,2,4,0,5,1,False
"_af_aiff_update(int *,AFfilehandle)",aiffwrite-pre.c,4,13,0,3,1,False
"_af_aiff_write_init(int *,AFfilesetup,AFfilehandle)",aiffwrite-pre.c,5,14,1,8,1,False
"_af_alaw2linear(int *,unsigned char)",g711-pre.c,2,1,0,4,1,False
"_af_avr_complete_setup(int *,AFfilesetup)",avr-pre.c,18,6,1,17,2,True
"_af_avr_read_init(int *,AFfilesetup,AFfilehandle)",avr-pre.c,8,31,1,12,1,False
"_af_avr_recognize(int *,AFvirtualfile *)",avr-pre.c,2,4,0,3,1,False
"_af_avr_update(int *,AFfilehandle)",avrwrite-pre.c,4,4,0,1,0,False
"_af_avr_write_init(int *,AFfilesetup,AFfilehandle)",avrwrite-pre.c,12,14,1,7,1,False
"_af_byteswap_float32(int *,float)",byteorder-pre.c,3,2,0,1,0,False
"_af_byteswap_int16(int *,uint16_t)",byteorder-pre.c,3,1,0,1,0,False
"_af_byteswap_int32(int *,uint32_t)",byteorder-pre.c,5,1,0,1,0,False
"_af_calloc(int *,size_t,size_t)",util-pre.c,19,3,0,4,1,True
"_af_compression_index_from_id(int *,int)",compression-pre.c,12,2,0,3,2,False
"_af_convert_from_ieee_extended(int *,const unsigned char *)",extended-pre.c,2,3,1,6,2,False
"_af_convert_to_ieee_extended(int *,double,unsigned char *)",extended-pre.c,2,4,1,6,3,False
"_af_error(int *,int,const char *)",error-pre.c,100,4,0,2,1,False
"_af_filehandle_can_read(int *,AFfilehandle)",util-pre.c,6,2,0,2,1,False
"_af_filehandle_can_write(int *,AFfilehandle)",util-pre.c,9,2,0,2,1,False
"_af_filehandle_get_track(int *,AFfilehandle,int)",util-pre.c,65,2,0,3,2,False
"_af_filehandle_ok(int *,AFfilehandle)",util-pre.c,42,2,0,3,1,False
"_af_filesetup_copy(int *,AFfilesetup,AFfilesetup,_Bool)",setup-pre.c,27,17,4,29,3,True
"_af_filesetup_get_tracksetup(int *,AFfilesetup,int)",util-pre.c,23,2,0,3,2,False
"_af_filesetup_make_handle(int *,AFfilesetup,AFfilehandle)",setup-pre.c,51,47,2,21,5,True
"_af_filesetup_ok(int *,AFfilesetup)",util-pre.c,22,2,0,3,1,False
"_af_format_frame_size_uncompressed(int *,_AudioFormat *,_Bool)",util-pre.c,6,2,0,1,0,False
"_af_format_frame_size(int *,_AudioFormat *,_Bool)",util-pre.c,23,3,0,1,0,False
"_af_format_sample_size_uncompressed(int *,_AudioFormat *,_Bool)",util-pre.c,11,1,1,6,2,False
"_af_format_sample_size(int *,_AudioFormat *,_Bool)",util-pre.c,9,3,0,1,0,False
"_af_g711_format_ok(int *,_AudioFormat *)",modules_g711-pre.c,5,6,1,4,1,False
"_af_handle_instrument_index_from_id(int *,AFfilehandle,int)",instrument-pre.c,10,2,0,3,2,False
"_af_handle_loop_index_from_id(int *,AFfilehandle,int,int)",loop-pre.c,10,2,0,3,2,False
"_af_identify(int *,AFvirtualfile *,int *)",openclose-pre.c,11,5,1,6,3,True
"_af_iff_complete_setup(int *,AFfilesetup)",iff-pre.c,19,7,1,16,1,True
"_af_iff_read_init(int *,AFfilesetup,AFfilehandle)",iff-pre.c,3,16,1,14,2,False
"_af_iff_recognize(int *,AFvirtualfile *)",iff-pre.c,2,4,0,5,1,False
"_af_iff_update(int *,AFfilehandle)",iffwrite-pre.c,3,7,0,1,0,False
"_af_iff_write_init(int *,AFfilesetup,AFfilehandle)",iffwrite-pre.c,4,9,0,2,1,False
"_af_ima_adpcm_format_ok(int *,_AudioFormat *)",modules_ima-pre.c,6,6,1,5,1,True
"_af_ima_adpcm_init_decompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_ima-pre.c,9,15,1,4,1,False
"_af_initfloatrebufferf2v(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,5,10,0,1,0,True
"_af_initfloatrebufferv2f(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,4,9,0,1,0,False
"_af_initint2rebufferf2v(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,6,10,0,1,0,True
"_af_initint2rebufferv2f(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,5,9,0,1,0,False
"_af_instparam_get(int *,AFfilehandle,int,AUpvlist,int,_Bool)",instrument-pre.c,17,8,2,11,2,False
"_af_instparam_index_from_id(int *,int,int)",instrument-pre.c,10,2,1,4,2,False
"_af_instparam_set(int *,AFfilehandle,int,AUpvlist,int)",instrument-pre.c,18,8,2,12,2,False
"_af_instsetup_new(int *,int)",setup-pre.c,7,5,1,7,3,False
"_af_ircam_complete_setup(int *,AFfilesetup)",ircam-pre.c,23,3,1,23,2,False
"_af_ircam_read_init(int *,AFfilesetup,AFfilehandle)",ircam-pre.c,13,32,2,17,1,True
"_af_ircam_recognize(int *,AFvirtualfile *)",ircam-pre.c,6,4,0,6,1,True
"_af_ircam_update(int *,AFfilehandle)",ircamwrite-pre.c,0,1,0,1,0,False
"_af_ircam_write_init(int *,AFfilesetup,AFfilehandle)",ircamwrite-pre.c,14,11,1,8,1,False
"_af_linear2alaw(int *,int)",g711-pre.c,4,2,1,4,2,False
"_af_linear2ulaw(int *,int)",g711-pre.c,4,2,1,3,1,False
"_af_malloc(int *,size_t)",util-pre.c,32,3,0,3,1,True
"_af_marker_find_by_id(int *,_Track *,int)",marker-pre.c,12,3,0,4,2,True
"_af_marker_new(int *,int)",marker-pre.c,5,2,0,2,1,False
"_af_ms_adpcm_format_ok(int *,_AudioFormat *)",modules_msadpcm-pre.c,6,6,1,6,1,True
