Name,File,CountInput,CountOutput,CountPathLog,CyclomaticStrict,MaxNesting,PREDICTION,INJECTED
"_af_aiff_complete_setup(int *,AFfilesetup)",aiff-pre.c,22,6,2,28,3,True,0
"_af_aiff_read_init(int *,AFfilesetup,AFfilehandle)",aiff-pre.c,3,21,2,23,3,True,0
"_af_avr_complete_setup(int *,AFfilesetup)",avr-pre.c,18,6,1,17,2,True,0
"_af_calloc(int *,size_t,size_t)",util-pre.c,19,3,0,4,1,True,0
"_af_filesetup_copy(int *,AFfilesetup,AFfilesetup,_Bool)",setup-pre.c,27,17,4,29,3,True,0
"_af_filesetup_make_handle(int *,AFfilesetup,AFfilehandle)",setup-pre.c,51,47,2,21,5,True,0
"_af_identify(int *,AFvirtualfile *,int *)",openclose-pre.c,11,5,1,6,3,True,0
"_af_iff_complete_setup(int *,AFfilesetup)",iff-pre.c,19,7,1,16,1,True,0
"_af_ima_adpcm_format_ok(int *,_AudioFormat *)",modules_ima-pre.c,6,6,1,5,1,True,0
"_af_initfloatrebufferf2v(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,5,10,0,1,0,True,0
"_af_initint2rebufferf2v(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,6,10,0,1,0,True,0
"_af_ircam_read_init(int *,AFfilesetup,AFfilehandle)",ircam-pre.c,13,32,2,17,1,True,0
"_af_ircam_recognize(int *,AFvirtualfile *)",ircam-pre.c,6,4,0,6,1,True,0
"_af_malloc(int *,size_t)",util-pre.c,32,3,0,3,1,True,0
"_af_marker_find_by_id(int *,_Track *,int)",marker-pre.c,12,3,0,4,2,True,0
"_af_ms_adpcm_format_ok(int *,_AudioFormat *)",modules_msadpcm-pre.c,6,6,1,6,1,True,0
"_af_ms_adpcm_init_decompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_msadpcm-pre.c,10,18,1,6,1,True,0
"_af_next_complete_setup(int *,AFfilesetup)",next-pre.c,18,7,2,21,2,True,0
"_af_nist_read_init(int *,AFfilesetup,AFfilehandle)",nist-pre.c,10,31,3,27,3,True,0
"_af_nist_write_init(int *,AFfilesetup,AFfilehandle)",nistwrite-pre.c,7,10,0,3,1,True,0
"_af_pcm_format_ok(int *,_AudioFormat *)",modules_pcm-pre.c,6,3,0,5,0,True,0
"_af_print_chunk(int *,_AFchunk *)",debug-pre.c,17,13,2,28,4,True,0
"_af_print_filehandle(int *,AFfilehandle)",debug-pre.c,11,3,1,3,1,True,0
"_af_print_tracks(int *,AFfilehandle)",debug-pre.c,20,3,0,2,1,True,0
"_af_pv_getlong(int *,AUpvlist,int,long *)",util-pre.c,6,5,1,4,2,True,0
"_af_raw_write_init(int *,AFfilesetup,AFfilehandle)",raw-pre.c,7,4,0,3,1,True,0
"_af_realloc(int *,void *,size_t)",util-pre.c,6,3,0,3,1,True,0
"_af_setup_free_instruments(int *,AFfilesetup)",setup-pre.c,6,4,0,3,2,True,0
"_af_setup_free_loops(int *,AFfilesetup,int)",setup-pre.c,6,4,0,2,1,True,0
"_af_setup_free_markers(int *,AFfilesetup,int)",setup-pre.c,8,4,0,3,2,True,0
"_af_strdup(int *,char *)",util-pre.c,7,4,0,2,1,True,0
"_af_wave_complete_setup(int *,AFfilesetup)",wave-pre.c,26,12,3,50,4,True,0
"_af_wave_read_init(int *,AFfilesetup,AFfilehandle)",wave-pre.c,7,26,3,37,3,True,1
"_af_wave_update(int *,AFfilehandle)",wavewrite-pre.c,8,9,0,2,1,True,0
"_AFg711initdecompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_g711-pre.c,7,11,0,1,0,True,0
"_afOpenFile(int *,int,AFvirtualfile *,const char *,AFfilehandle *,AFfilesetup)",openclose-pre.c,25,26,3,26,2,True,0
"_afQueryFileFormat(int *,int,int,int,int)",query-pre.c,14,6,2,37,3,True,0
"_afQueryMarker(int *,int,int,int,int)",query-pre.c,6,3,0,3,1,True,0
"_AFsetupmodules(int *,AFfilehandle,_Track *)",modules-pre.c,32,33,4,34,3,True,1
"addfilereadmods(int *,current_state *,_Track *,AFfilehandle)",modules-pre.c,8,3,0,4,1,True,0
"addfilewritemods(int *,current_state *,_Track *,AFfilehandle)",modules-pre.c,8,3,0,4,1,True,0
"addmod(int *,current_state *,_AFmoduleinst)",modules-pre.c,11,8,0,2,1,True,1
"af_read_uint16_be(int *,uint16_t *,AFvirtualfile *)",util-pre.c,7,4,0,2,1,True,0
"af_read_uint32_be(int *,uint32_t *,AFvirtualfile *)",util-pre.c,11,4,0,2,1,True,0
"af_read_uint32_le(int *,uint32_t *,AFvirtualfile *)",util-pre.c,9,4,0,3,1,True,0
"af_virtual_file_new_for_file(int *,FILE *)",af_vfs-pre.c,7,9,0,2,1,True,0
"af_write_uint16_be(int *,const uint16_t *,AFvirtualfile *)",util-pre.c,8,3,0,2,1,True,0
"af_write_uint32_be(int *,const uint32_t *,AFvirtualfile *)",util-pre.c,20,3,0,2,1,True,0
"afFreeFileSetup(int *,AFfilesetup)",setup-pre.c,6,7,0,3,1,True,0
"afGetAESChannelData(int *,AFfilehandle,int,unsigned char [24])",aes-pre.c,6,4,1,5,2,True,0
"afGetByteOrder(int *,AFfilehandle,int)",format-pre.c,6,3,0,3,1,True,0
"afGetCompression(int *,AFfilehandle,int)",compression-pre.c,6,3,0,3,1,True,0
"afGetDataOffset(int *,AFfilehandle,int)",format-pre.c,5,3,0,3,1,True,0
"afGetFileFormat(int *,AFfilehandle,int *)",format-pre.c,8,4,1,4,2,True,0
"afGetFrameCount(int *,AFfilehandle,int)",format-pre.c,8,4,1,5,2,True,1
"afGetInstIDs(int *,AFfilehandle,int *)",instrument-pre.c,6,3,1,4,2,True,0
"afGetLoopEndFrame(int *,AFfilehandle,int,int)",loop-pre.c,6,3,0,2,1,True,0
"afGetLoopIDs(int *,AFfilehandle,int,int *)",loop-pre.c,8,4,1,5,2,True,0
"afGetLoopStartFrame(int *,AFfilehandle,int,int)",loop-pre.c,6,3,0,2,1,True,0
"afGetMarkComment(int *,AFfilehandle,int,int)",marker-pre.c,5,5,1,6,1,True,0
"afGetMarkIDs(int *,AFfilehandle,int,int [])",marker-pre.c,9,4,1,6,2,True,0
"afGetMarkName(int *,AFfilehandle,int,int)",marker-pre.c,7,5,1,6,1,True,0
"afGetMarkPosition(int *,AFfilehandle,int,int)",marker-pre.c,9,5,1,6,1,True,0
"afGetMiscIDs(int *,AFfilehandle,int *)",misc-pre.c,7,3,1,4,2,True,0
"afGetSampleFormat(int *,AFfilehandle,int,int *,int *)",format-pre.c,9,3,1,4,1,True,0
"afGetTrackBytes(int *,AFfilehandle,int)",format-pre.c,5,3,0,2,1,True,0
"afGetVirtualByteOrder(int *,AFfilehandle,int)",format-pre.c,5,3,0,3,1,True,0
"afGetVirtualFrameSize(int *,AFfilehandle,int,int)",format-pre.c,6,4,0,3,1,True,0
"afGetVirtualSampleFormat(int *,AFfilehandle,int,int *,int *)",format-pre.c,7,3,1,4,1,True,0
"afInitFileFormat(int *,AFfilesetup,int)",setup-pre.c,7,3,1,5,1,True,0
"afInitMarkIDs(int *,AFfilesetup,int,int [],int)",marker-pre.c,9,11,1,8,3,True,0
"afInitMiscIDs(int *,AFfilesetup,int *,int)",misc-pre.c,5,9,1,6,2,True,0
"afInitPCMMapping(int *,AFfilesetup,int,double,double,double,double)",pcm-pre.c,7,8,0,3,1,True,0
"afInitSampleFormat(int *,AFfilesetup,int,int,int)",setup-pre.c,7,5,0,3,1,True,0
afNewFileSetup(int *),setup-pre.c,6,11,1,4,2,True,1
"afOpenNamedFD(int *,int,const char *,AFfilesetup,const char *)",openclose-pre.c,5,6,1,6,1,True,0
"afQueryDouble(int *,int,int,int,int,int)",query-pre.c,6,5,0,3,1,True,0
"afQueryLong(int *,int,int,int,int,int)",query-pre.c,6,5,0,3,1,True,0
"afQueryPointer(int *,int,int,int,int,int)",query-pre.c,7,5,0,3,1,True,0
"afReadFrames(int *,AFfilehandle,int,void *,int)",data-pre.c,22,17,2,21,4,True,0
"afReadMisc(int *,AFfilehandle,int,void *,int)",misc-pre.c,9,7,1,6,1,True,0
"afSetAESChannelData(int *,AFfilehandle,int,unsigned char [24])",aes-pre.c,6,4,1,4,1,True,0
"afSetChannelMatrix(int *,AFfilehandle,int,double *)",format-pre.c,8,5,1,6,2,True,0
"afSetLoopEndFrame(int *,AFfilehandle,int,int,AFframecount)",loop-pre.c,7,4,0,3,1,True,0
"afSetLoopMode(int *,AFfilehandle,int,int,int)",loop-pre.c,5,3,0,5,1,True,0
