Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Function,close_stream(FILE *),close-stream.c,3,0,0,6,3,0,3,3,9,1,1,0,2,0,1
Function,rpl_fclose(FILE *),fclose.c,1,15,6,8,5,1,4,4,18,1,1,0,1,0,1
Function,rpl_fflush(FILE *),fflush.c,1,18,6,11,5,1,5,5,9,5,4,4,1,4,1
Function,"readlinebuffer_delim(struct linebuffer *,FILE *,char)",linebuffer.c,7,0,0,10,17,1,9,9,15,6,7,7,3,7,1
Static Function,"check_file(const char *,const char *,char)",uniq.c,14,0,0,19,3648,4,28,28,53,8,13,13,5,12,1
Function,"x2realloc(void *,size_t *)",xmalloc.c,5,0,0,3,1,0,1,1,3,1,0,0,0,0,1
Function,acl_entries(int),acl_entries.c,0,28,10,1,2,0,2,2,2,1,0,0,1,0,0
Function,acl_errno_valid(int),acl-errno-valid.c,1,4,6,1,5,1,5,2,5,1,10,0,1,0,0
Function,free_permission_context(struct permission_context *),acl-internal.c,2,22,14,0,1,0,1,1,1,1,0,0,0,0,0
Function,"anytostr(int,char *)",anytostr.c,0,0,0,1,2,0,2,2,2,1,1,0,1,0,0
Function,"anytostr(int,char *)",anytostr.copy1.c,0,0,0,1,2,0,2,2,2,1,1,0,1,0,0
Function,"anytostr(int,char *)",anytostr.copy2.c,0,0,0,1,2,0,2,2,2,1,1,0,1,0,0
Function,"anytostr(int,char *)",anytostr.copy3.c,0,0,0,1,2,0,2,2,2,1,1,0,1,0,0
Function,"anytostr(int,char *)",anytostr.copy4.c,0,0,0,1,2,0,2,2,2,1,1,0,1,0,0
Function,"anytostr(int,char *)",anytostr.copy5.c,0,0,0,1,2,0,2,2,2,1,1,0,1,0,0
Function,"areadlink_with_size(const char *,size_t)",areadlink-with-size.c,3,0,0,5,7,1,12,12,13,7,11,11,2,11,0
Function,areadlink(const char *),areadlink.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"careadlinkatcwd(int,const char *,char *,size_t)",areadlink.c,4,0,0,3,2,0,2,2,2,1,1,0,1,0,0
Function,"areadlinkat(int,const char *)",areadlinkat.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,__argmatch_die(),argmatch.c,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"__xargmatch_internal(const char *,const char *,const char *const *,const char *,size_t,argmatch_exit_fn)",argmatch.c,7,0,0,4,2,0,2,2,2,1,1,0,1,0,0
Function,"argmatch_invalid(const char *,const char *,ptrdiff_t)",argmatch.c,4,0,0,4,1,0,2,2,2,1,0,0,0,0,0
Function,"argmatch_to_argument(const char *,const char *const *,const char *,size_t)",argmatch.c,4,0,0,2,3,0,3,3,3,3,3,3,2,3,0
Function,"argmatch_valid(const char *const *,const char *,size_t)",argmatch.c,5,0,0,6,3,0,3,3,4,1,1,0,2,0,0
Function,"argmatch(const char *,const char *const *,const char *,size_t)",argmatch.c,6,0,0,4,11,1,7,7,8,5,6,6,4,5,0
Function,argv_iter_free(struct argv_iterator *),argv-iter.c,3,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Function,argv_iter_init_argv(char **),argv-iter.c,1,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Function,argv_iter_init_stream(FILE *),argv-iter.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Function,argv_iter_n_args(const struct argv_iterator *),argv-iter.c,5,0,0,1,1,0,2,2,2,1,0,0,0,0,0
Function,"argv_iter(struct argv_iterator *,enum argv_iter_err *)",argv-iter.c,5,0,0,6,4,1,5,5,5,4,4,4,2,4,0
Function,"asnprintf(char *,size_t *,const char *)",asnprintf.c,3,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Function,"asprintf(char **,const char *)",asprintf.c,2,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy1.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy2.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy3.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy3.cc,3,2,3,10,40,2,11,11,17,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy4.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"AT_FUNC_NAME(int,const char *)",at-func.copy5.c,3,2,3,5,13,1,7,7,13,6,6,6,2,6,0
Function,"at_func2(int,const char *,int,const char *,int (*)(const char *, const char *))",at-func2.c,7,0,0,14,8871,4,47,47,83,33,70,67,3,67,0
Static Function,"check_extension(char *,size_t,char)",backupfile.c,4,0,0,7,36,2,10,10,13,1,1,0,3,0,0
Function,"find_backup_file_name(const char *,enum backup_type)",backupfile.c,3,0,0,6,18,1,7,5,7,5,5,5,2,5,0
Function,"get_version(const char *,const char *)",backupfile.c,6,0,0,2,2,0,2,2,3,1,1,0,1,0,0
Static Function,"numbered_backup(char **,size_t,size_t)",backupfile.c,6,0,0,12,130,2,11,11,17,7,5,5,2,5,0
Function,"xget_version(const char *,const char *)",backupfile.c,2,0,0,3,2,0,2,2,3,1,1,0,1,0,0
Function,"base64_decode_alloc_ctx(struct base64_decode_context *,const char *,size_t,char **,size_t *)",base64.c,5,0,0,6,4,1,4,4,4,3,2,2,1,2,0
Function,base64_decode_ctx_init(struct base64_decode_context *),base64.c,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"base64_decode_ctx(struct base64_decode_context *,const char *restrict,size_t,char *restrict,size_t *)",base64.c,7,0,0,3,258,2,11,11,18,9,11,11,4,10,0
Function,"base64_encode_alloc(const char *,size_t,char **)",base64.c,3,0,0,4,3,0,3,3,3,3,2,2,1,2,0
Static Function,"base64_encode_fast(const char *restrict,size_t,char *restrict)",base64.c,4,0,0,2,2,0,2,2,2,1,0,0,1,0,0
Function,"base64_encode(const char *restrict,size_t,char *restrict,size_t)",base64.c,6,0,0,3,131,2,14,14,16,7,9,9,2,9,0
Static Function,"decode_4(const char *restrict,size_t,char *restrict *,size_t *)",base64.c,6,0,0,4,36,2,22,22,23,12,19,19,4,19,0
Static Function,"get_4(struct base64_decode_context *,const char *restrict *,const char *restrict,size_t *)",base64.c,6,0,0,6,18,1,7,7,8,6,5,5,3,5,0
Function,isbase64(char),base64.c,3,0,0,2,1,0,1,1,2,1,0,0,0,0,0
Static Function,to_uchar(char),base64.c,5,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,base_len(const char *),basename-lgpl.c,7,0,0,2,6,1,4,4,12,3,2,2,1,2,0
Function,last_component(const char *),basename-lgpl.c,8,0,0,1,8,1,5,5,5,1,1,0,2,0,0
Function,base_name(const char *),basename.c,1,0,0,6,5,1,4,4,4,3,2,2,1,2,0
Function,"rotl_sz(size_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotl16(uint16_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotl32(uint32_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotl64(uint64_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotl8(uint8_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotr_sz(size_t,int)",bitrotate.h,3,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotr16(uint16_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotr32(uint32_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotr64(uint64_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"rotr8(uint8_t,int)",bitrotate.h,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,btowc(int),btowc.c,1,0,0,2,3,0,3,3,3,3,2,2,2,2,0
Function,"buffer_lcm(size_t,size_t,size_t)",buffer-lcm.c,3,0,0,1,6,1,7,7,8,4,4,4,3,4,0
Function,c_isalnum(int),c-ctype.c,3,21,6,1,1,0,1,1,4,1,0,0,0,0,0
Function,c_isalpha(int),c-ctype.c,4,17,6,1,1,0,1,1,2,1,0,0,0,0,0
