Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Static Function,"access_virt_barray(int *,j_common_ptr,jvirt_barray_ptr,JDIMENSION,JDIMENSION,boolean)",jmemmgr-pre.c,17,0,0,9,1300,3,15,15,18,1,3,0,3,0,0
Static Function,"access_virt_sarray(int *,j_common_ptr,jvirt_sarray_ptr,JDIMENSION,JDIMENSION,boolean)",jmemmgr-pre.c,17,0,0,9,1300,3,15,15,18,1,3,0,3,0,0
Static Function,"add_huff_table(int *,j_compress_ptr,JHUFF_TBL **,const UINT8 *,const UINT8 *)",jcparam-pre.c,9,0,0,7,8,1,4,4,5,1,0,0,1,0,0
Static Function,"alloc_barray(int *,j_common_ptr,int,JDIMENSION,JDIMENSION)",jmemmgr-pre.c,8,0,0,7,12,1,6,6,6,1,1,0,2,0,0
Static Function,"alloc_fs_workspace(int *,j_decompress_ptr)",jquant1-pre.c,8,0,0,2,2,0,2,2,2,1,0,0,1,0,0
Static Function,"alloc_funny_pointers(int *,j_decompress_ptr)",jdmainct-pre.c,11,0,0,2,2,0,2,2,2,1,0,0,1,0,0
Static Function,"alloc_large(int *,j_common_ptr,int,size_t)",jmemmgr-pre.c,9,0,0,14,16,1,5,5,6,1,0,0,1,0,0
Static Function,"alloc_sarray(int *,j_common_ptr,int,JDIMENSION,JDIMENSION)",jmemmgr-pre.c,8,0,0,7,12,1,6,6,6,1,1,0,2,0,0
Static Function,"alloc_small(int *,j_common_ptr,int,size_t)",jmemmgr-pre.c,17,0,0,14,984,3,13,13,14,6,6,6,3,4,0
Static Function,"arith_decode(int *,j_decompress_ptr,unsigned char *)",jdarith-pre.c,14,0,0,7,70,2,13,13,13,1,5,0,5,0,0
Static Function,"arith_encode(int *,j_compress_ptr,unsigned char *,int)",jcarith-pre.c,17,0,0,8,77,2,21,21,21,3,6,3,6,3,0
Static Function,"build_bg_ycc_rgb_table(int *,j_decompress_ptr)",jdmerge-pre.c,5,0,0,5,2,0,2,2,2,1,0,0,1,0,0
Static Function,"build_bg_ycc_rgb_table(int *,j_decompress_ptr)",jdcolor-pre.c,5,0,0,5,2,0,2,2,2,1,0,0,1,0,0
Static Function,"build_rgb_y_table(int *,j_decompress_ptr)",jdcolor-pre.c,5,0,0,2,2,0,2,2,2,1,0,0,1,0,0
