Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Function,"_jq_memmem(const void *,size_t,const void *,size_t)",util-pre.c,6,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"_jq_path_append(jq_state *,jv,jv,jv)",execute-pre.c,8,0,0,11,4,1,4,4,6,3,3,2,1,2,0
Static Function,align_round_up(size_t),execute-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,args2obj(jv),execute-pre.c,2,0,0,11,4,1,6,6,6,1,1,0,2,0,0
Static Function,"b2d(struct dtoa_context *,Bigint *,int *)",jv_dtoa-pre.c,6,0,0,4,4,1,6,6,6,1,2,0,1,0,0
Static Function,"Balloc(struct dtoa_context *,int)",jv_dtoa-pre.c,14,0,0,8,2,0,2,2,3,1,1,0,1,0,0
Static Function,"Bfree(struct dtoa_context *,Bigint *)",jv_dtoa-pre.c,12,0,0,5,3,0,3,3,3,1,1,0,2,0,0
Static Function,"bigcomp(struct dtoa_context *,U *,const char *,BCinfo *)",jv_dtoa-pre.c,15,0,0,13,244608,5,30,30,34,18,42,41,4,39,0
Static Function,"bind_alternation_matchers(block,block)",compile-pre.c,9,0,0,23,14,1,7,7,8,1,1,0,2,0,0
Static Function,bind_bytecoded_builtins(block),builtin-pre.c,4,0,0,14,4,1,3,3,3,1,0,0,1,0,0
Static Function,"bind_matcher(block,block)",compile-pre.c,7,0,0,4,3,0,3,3,5,1,0,0,2,0,0
Function,"block_append(block *,block)",compile-pre.c,8,0,0,4,3,0,3,3,3,1,1,0,2,0,0
Static Function,"block_bind_each(block,block,int)",compile-pre.c,7,0,0,5,2,0,3,3,3,1,0,0,1,0,0
Function,"block_bind_library(block,block,int,const char *)",compile-pre.c,10,0,0,11,6,1,6,6,7,1,0,0,2,0,0
Function,"block_bind_referenced(block,block,int)",compile-pre.c,4,0,0,10,7,1,6,6,6,3,3,3,3,2,0
Static Function,"block_bind_subblock(block,block,int,int)",compile-pre.c,18,0,0,12,14,1,12,12,25,1,1,0,3,0,0
Function,"block_bind(block,block,int)",compile-pre.c,10,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"block_compile(block,struct bytecode **,struct locfile *,jv)",compile-pre.c,6,0,0,22,2,0,3,3,3,1,1,0,1,0,0
Function,block_const_kind(block),compile-pre.c,8,0,0,4,1,0,2,2,2,1,0,0,0,0,0
Function,block_const(block),compile-pre.c,10,0,0,4,1,0,2,2,2,1,0,0,0,0,0
Static Function,block_count_actuals(block),compile-pre.c,6,0,0,2,3,0,6,4,7,1,1,0,2,0,0
Static Function,block_count_formals(block),compile-pre.c,9,0,0,2,3,0,4,4,4,1,1,0,1,0,0
Static Function,"block_count_refs(block,block)",compile-pre.c,9,0,0,1,3,0,3,3,4,1,0,0,2,0,0
Function,block_drop_unreferenced(block),compile-pre.c,4,0,0,7,6,1,5,5,7,1,1,0,3,0,0
Function,block_free(block),compile-pre.c,20,0,0,1,2,0,2,2,2,1,0,0,1,0,0
Static Function,"block_get_unbound_vars(block,jv *)",compile-pre.c,9,0,0,6,5,1,6,6,8,3,1,1,2,1,0
Function,block_has_main(block),compile-pre.c,5,0,0,1,3,0,3,3,3,3,3,3,2,3,0
Function,"block_has_only_binders_and_imports(block,int)",compile-pre.c,7,0,0,2,3,0,3,3,5,3,3,3,2,3,0
Function,"block_has_only_binders(block,int)",compile-pre.c,9,0,0,2,3,0,3,3,4,3,3,3,2,3,0
Function,block_is_const_inf(block),compile-pre.c,6,0,0,5,1,0,1,1,4,1,0,0,0,0,0
Function,block_is_const(block),compile-pre.c,10,0,0,2,1,0,1,1,3,1,0,0,0,0,0
Function,block_is_funcdef(block),compile-pre.c,3,0,0,1,2,0,2,2,3,1,1,0,1,0,0
Function,block_is_noop(block),compile-pre.c,6,0,0,1,1,0,1,1,2,1,0,0,0,0,0
Function,block_is_single(block),compile-pre.c,11,0,0,1,1,0,1,1,2,1,0,0,0,0,0
Function,"block_join(block,block)",compile-pre.c,39,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"block_list_funcs(block,int)",compile-pre.c,8,0,0,6,4,1,4,4,7,1,0,0,3,0,0
Function,block_module_meta(block),compile-pre.c,6,0,0,3,2,0,2,2,3,1,1,0,1,0,0
Function,block_take_imports(block *),compile-pre.c,7,0,0,9,12,1,5,5,8,1,0,0,2,0,0
Static Function,block_take(block *),compile-pre.c,9,0,0,6,3,0,3,3,3,1,2,0,1,0,0
Static Function,"build_lib_search_chain(jq_state *,jv,jv,jv)",linker-pre.c,4,0,0,18,18,1,10,10,11,5,5,5,3,2,0
Static Function,"builtins_bind_one(jq_state *,block *,const char *)",builtin-pre.c,5,0,0,7,2,0,2,2,2,1,0,0,1,0,0
Function,"builtins_bind(jq_state *,block *)",builtin-pre.c,5,0,0,12,2,0,3,3,3,1,1,0,1,0,0
Function,bytecode_free(struct bytecode *),bytecode-pre.c,11,0,0,3,5,1,4,4,4,1,1,0,1,0,0
Function,bytecode_operation_length(uint16_t *),bytecode-pre.c,4,0,0,2,2,0,2,2,3,1,0,0,1,0,0
Static Function,check_literal(struct jv_parser *),jv_parse-pre.c,6,0,0,10,37,2,14,12,15,11,19,17,3,16,0
Static Function,check_object_key(block),parser-pre.c,2,0,0,9,2,0,2,2,3,1,1,0,1,0,0
Static Function,checkerrormsg(const char *),jq_test-pre.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,checkfail(const char *),jq_test-pre.c,2,0,0,2,1,0,1,1,2,1,0,0,0,0,0
Static Function,classify(char),jv_parse-pre.c,2,0,0,1,4,1,12,2,12,1,6,0,1,0,0
Static Function,"cmp(struct dtoa_context *,Bigint *,Bigint *)",jv_dtoa-pre.c,8,0,0,1,5,1,6,6,6,5,6,6,2,6,0
Static Function,"compile(struct bytecode *,block,struct locfile *,jv,jv *)",compile-pre.c,30,0,0,38,10780,4,40,40,47,4,8,3,4,1,0
Static Function,"constant_fold(block,block,int)",parser-pre.c,4,0,0,15,55,2,25,16,29,9,66,11,2,11,0
Static Function,count_cfunctions(block),compile-pre.c,6,0,0,1,3,0,3,3,3,1,0,0,2,0,0
Static Function,"d2b(struct dtoa_context *,U *,int *,int *)",jv_dtoa-pre.c,7,0,0,8,12,1,6,6,6,1,3,0,2,0,0
Static Function,"debug_cb(void *,jv)",main-pre.c,3,0,0,5,1,0,1,1,1,1,0,0,0,0,0
Static Function,"default_err_cb(void *,jv)",execute-pre.c,2,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Static Function,"default_search(jq_state *,jv)",linker-pre.c,3,0,0,9,3,0,3,3,3,3,2,2,1,2,0
Static Function,"delpaths_sorted(jv,jv,int)",jv_aux-pre.c,4,0,0,15,38,2,10,10,11,7,13,13,4,12,0
Static Function,die(),main-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"diff(struct dtoa_context *,Bigint *,Bigint *)",jv_dtoa-pre.c,8,0,0,6,9,1,6,6,6,1,2,0,1,0,0
Static Function,"dshift(struct dtoa_context *,Bigint *,int)",jv_dtoa-pre.c,7,0,0,2,2,0,2,2,2,1,0,0,1,0,0
Static Function,"dump_code(int,struct bytecode *)",bytecode-pre.c,5,0,0,3,2,0,2,2,2,1,0,0,1,0,0
Function,"dump_disassembly(int,struct bytecode *)",bytecode-pre.c,7,0,0,8,8,1,5,5,5,1,0,0,3,0,0
Function,"dump_operation(struct bytecode *,uint16_t *)",bytecode-pre.c,14,0,0,10,12,1,11,11,12,1,6,0,4,0,0
Static Function,"enter(int,int,yyscan_t)",lexer-pre.c,3,0,0,3,5,1,6,3,6,1,6,0,1,0,0
Static Function,"escape_string(jv,const char *)",builtin-pre.c,3,0,0,12,6,1,5,5,6,1,1,0,2,0,0
Static Function,"expand_call_arglist(block *,jv,jv *)",compile-pre.c,17,0,0,27,113,2,27,24,36,6,14,8,5,6,0
Function,expand_path(jv),util-pre.c,2,0,0,12,3,0,4,4,6,1,1,0,2,0,0
Static Function,"f_acos(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_acosh(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_asin(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_asinh(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_atan(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_atan2(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_atanh(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_cbrt(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_ceil(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_contains(jq_state *,jv,jv)",builtin-pre.c,2,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_copysign(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_cos(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_cosh(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_current_filename(jq_state *,jv)",builtin-pre.c,2,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_current_line(jq_state *,jv)",builtin-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_debug(jq_state *,jv)",builtin-pre.c,2,0,0,3,2,0,2,2,2,1,0,0,1,0,0
Static Function,"f_delpaths(jq_state *,jv,jv)",builtin-pre.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_divide(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,4,1,4,4,6,4,4,4,2,4,0
Static Function,"f_drem(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_dump(jq_state *,jv)",builtin-pre.c,1,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_endswith(jq_state *,jv,jv)",builtin-pre.c,3,0,0,11,3,0,3,3,5,1,2,0,1,0,0
Static Function,"f_env(jq_state *,jv)",builtin-pre.c,2,0,0,8,4,1,4,4,4,1,1,0,2,0,0
Static Function,"f_equal(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_erf(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_erfc(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_error(jq_state *,jv,jv)",builtin-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_exp(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_exp10(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_exp2(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_expm1(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_fabs(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_fdim(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_floor(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_fma(jq_state *,jv,jv,jv,jv)",builtin-pre.c,4,0,0,7,4,1,4,4,4,4,3,3,1,3,0
Static Function,"f_fmax(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_fmin(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_fmod(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_format(jq_state *,jv,jv)",builtin-pre.c,6,0,0,27,87,2,49,41,52,26,53,53,5,50,0
Static Function,"f_frexp(jq_state *,jv)",builtin-pre.c,1,0,0,9,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_gamma(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_get_jq_origin(jq_state *,jv)",builtin-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_get_prog_origin(jq_state *,jv)",builtin-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_get_search_list(jq_state *,jv)",builtin-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_getpath(jq_state *,jv,jv)",builtin-pre.c,3,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_gmtime(jq_state *,jv)",builtin-pre.c,2,0,0,15,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_greater(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_greatereq(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_group_by_impl(jq_state *,jv,jv)",builtin-pre.c,2,0,0,6,2,0,2,2,4,1,1,0,1,0,0
Static Function,"f_halt_error(jq_state *,jv,jv)",builtin-pre.c,3,0,0,6,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_halt(jq_state *,jv)",builtin-pre.c,2,0,0,5,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_has(jq_state *,jv,jv)",builtin-pre.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_hypot(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_infinite(jq_state *,jv)",builtin-pre.c,1,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_input(jq_state *,jv)",builtin-pre.c,2,0,0,8,3,0,3,3,4,3,2,2,1,2,0
Static Function,"f_isinfinite(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,3,3,3,1,1,0,1,0,0
Static Function,"f_isnan(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,3,3,3,1,1,0,1,0,0
Static Function,"f_isnormal(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,3,3,3,1,1,0,1,0,0
Static Function,"f_j0(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_j1(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_jn(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_json_parse(jq_state *,jv)",builtin-pre.c,1,0,0,8,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_keys_unsorted(jq_state *,jv)",builtin-pre.c,1,0,0,4,2,0,2,2,3,1,1,0,1,0,0
Static Function,"f_keys(jq_state *,jv)",builtin-pre.c,1,0,0,4,2,0,2,2,3,1,1,0,1,0,0
Static Function,"f_ldexp(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_length(jq_state *,jv)",builtin-pre.c,1,0,0,10,6,1,6,6,6,6,5,5,1,5,0
Static Function,"f_less(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_lesseq(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_lgamma_r(jq_state *,jv)",builtin-pre.c,1,0,0,9,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_lgamma(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_localtime(jq_state *,jv)",builtin-pre.c,2,0,0,15,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_log(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_log10(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_log1p(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_log2(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_logb(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_ltrimstr(jq_state *,jv,jv)",builtin-pre.c,3,0,0,8,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_match(jq_state *,jv,jv,jv,jv)",builtin-pre.c,0,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_max_by_impl(jq_state *,jv,jv)",builtin-pre.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_max(jq_state *,jv)",builtin-pre.c,1,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_min_by_impl(jq_state *,jv,jv)",builtin-pre.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_min(jq_state *,jv)",builtin-pre.c,1,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_minus(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,12,12,1,11,11,13,8,4,4,6,4,0
Static Function,"f_mktime(jq_state *,jv)",builtin-pre.c,1,0,0,10,6,1,6,6,6,6,5,5,1,5,0
Static Function,"f_mod(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,6,3,0,3,3,4,3,3,3,2,3,0
Static Function,"f_modf(jq_state *,jv)",builtin-pre.c,1,0,0,9,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_modulemeta(jq_state *,jv)",builtin-pre.c,2,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_multiply(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,12,11,1,7,7,12,5,5,5,2,5,0
Static Function,"f_nan(jq_state *,jv)",builtin-pre.c,1,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_nearbyint(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_negate(jq_state *,jv)",builtin-pre.c,1,0,0,6,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_nextafter(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_nexttoward(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_notequal(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_now(jq_state *,jv)",builtin-pre.c,3,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_plus(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,9,7,1,7,7,11,7,6,6,1,6,0
Static Function,"f_pow(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_pow10(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_remainder(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_rint(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_round(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_rtrimstr(jq_state *,jv,jv)",builtin-pre.c,3,0,0,8,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_scalb(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_scalbln(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,7,3,0,3,3,3,3,2,2,1,2,0
Static Function,"f_setpath(jq_state *,jv,jv,jv)",builtin-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_significand(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_sin(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_sinh(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_sort_by_impl(jq_state *,jv,jv)",builtin-pre.c,2,0,0,6,2,0,2,2,4,1,1,0,1,0,0
Static Function,"f_sort(jq_state *,jv)",builtin-pre.c,1,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_sqrt(jq_state *,jv)",builtin-pre.c,1,0,0,7,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_startswith(jq_state *,jv,jv)",builtin-pre.c,3,0,0,11,3,0,3,3,5,1,2,0,1,0,0
Static Function,"f_stderr(jq_state *,jv)",builtin-pre.c,2,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_strflocaltime(jq_state *,jv,jv)",builtin-pre.c,3,0,0,12,8,1,6,6,7,6,7,7,1,7,0
Static Function,"f_strftime(jq_state *,jv,jv)",builtin-pre.c,3,0,0,13,8,1,6,6,7,6,7,7,1,7,0
Static Function,"f_string_explode(jq_state *,jv)",builtin-pre.c,1,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_string_implode(jq_state *,jv)",builtin-pre.c,1,0,0,5,2,0,2,2,2,1,1,0,1,0,0
Static Function,"f_string_indexes(jq_state *,jv,jv)",builtin-pre.c,2,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Static Function,"f_string_split(jq_state *,jv,jv)",builtin-pre.c,2,0,0,5,2,0,2,2,3,1,1,0,1,0,0
Static Function,"f_strptime(jq_state *,jv,jv)",builtin-pre.c,6,0,0,16,10,1,6,6,15,3,2,2,1,2,0
