Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Static Function,_cdf_tole2(uint16_t),cdf-pre.c,9,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,_cdf_tole4(uint32_t),cdf-pre.c,16,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,_cdf_tole8(uint64_t),cdf-pre.c,6,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,"_strncasecmp(const char *,const char *,size_t)",strcasestr-pre.c,4,0,0,2,4,1,5,5,5,5,5,5,3,5,0
Static Function,"add_mlist(struct mlist *,struct magic_map *,size_t)",apprentice-pre.c,8,0,0,8,2,0,3,3,3,1,1,0,1,0,0
Static Function,"addentry(struct magic_set *,struct magic_entry *,struct magic_entry_set *)",apprentice-pre.c,9,0,0,7,3,0,4,4,4,3,2,2,2,2,0
Static Function,applyparam(magic_t),file-pre.c,7,0,0,2,5,1,4,4,4,3,1,1,2,1,0
Static Function,"apprentice_1(struct magic_set *,const char *,int)",apprentice-pre.c,8,0,0,10,27,1,12,12,12,9,10,10,2,10,0
Static Function,"apprentice_buf(struct magic_set *,struct magic *,size_t)",apprentice-pre.c,4,0,0,8,3,0,3,3,3,3,2,2,1,2,0
Static Function,"apprentice_compile(struct magic_set *,struct magic_map *,const char *)",apprentice-pre.c,7,0,0,12,48,2,7,7,7,6,6,6,2,6,0
Static Function,"apprentice_list(struct mlist *,int)",apprentice-pre.c,11,0,0,2,8,1,6,6,10,4,1,1,4,1,0
Static Function,"apprentice_load(struct magic_set *,const char *,int)",apprentice-pre.c,14,0,0,22,31409,4,21,21,23,16,21,21,4,21,0
Static Function,apprentice_magic_strength(const struct magic *),apprentice-pre.c,12,0,0,5,684,3,65,11,65,21,100,100,2,100,0
Static Function,"apprentice_map(struct magic_set *,const char *)",apprentice-pre.c,5,0,0,18,256,2,11,11,12,9,16,16,1,16,0
Static Function,"apprentice_sort(const void *,const void *)",apprentice-pre.c,3,0,0,2,3,0,3,3,3,3,2,2,1,2,0
Static Function,apprentice_unmap(struct magic_map *),apprentice-pre.c,10,0,0,3,8,1,8,6,10,7,11,11,3,11,0
Function,"asctime_r(const struct tm *,char *)",asctime_r-pre.c,3,0,0,3,2,0,2,2,2,1,1,0,1,0,0
