Name,File,CountInput,CountOutput,CountPathLog,CyclomaticStrict,MaxNesting,PREDICTION
"access_virt_barray(j_common_ptr,jvirt_barray_ptr,JDIMENSION,JDIMENSION,boolean)",jmemmgr-pre.c,16,9,3,18,3,False
"access_virt_sarray(j_common_ptr,jvirt_sarray_ptr,JDIMENSION,JDIMENSION,boolean)",jmemmgr-pre.c,16,9,3,18,3,False
"add_huff_table(j_compress_ptr,JHUFF_TBL **,const UINT8 *,const UINT8 *)",jcparam-pre.c,8,7,1,5,1,True
"alloc_barray(j_common_ptr,int,JDIMENSION,JDIMENSION)",jmemmgr-pre.c,7,7,1,6,2,True
alloc_fs_workspace(j_decompress_ptr),jquant1-pre.c,7,2,0,2,1,False
alloc_funny_pointers(j_decompress_ptr),jdmainct-pre.c,10,2,0,2,1,False
"alloc_large(j_common_ptr,int,size_t)",jmemmgr-pre.c,8,14,1,6,1,True
"alloc_sarray(j_common_ptr,int,JDIMENSION,JDIMENSION)",jmemmgr-pre.c,7,8,1,6,2,True
"alloc_small(j_common_ptr,int,size_t)",jmemmgr-pre.c,16,14,3,14,3,True
"arith_decode(j_decompress_ptr,unsigned char *)",jdarith-pre.c,13,7,2,13,5,False
"arith_encode(j_compress_ptr,unsigned char *,int)",jcarith-pre.c,16,8,2,21,6,False
build_bg_ycc_rgb_table(j_decompress_ptr),jdcolor-pre.c,4,5,0,2,1,False
build_bg_ycc_rgb_table(j_decompress_ptr),jdmerge-pre.c,4,5,0,2,1,False
build_rgb_y_table(j_decompress_ptr),jdcolor-pre.c,4,2,0,2,1,False
build_ycc_rgb_table(j_decompress_ptr),jdcolor-pre.c,4,6,0,2,1,False
build_ycc_rgb_table(j_decompress_ptr),jdmerge-pre.c,4,5,0,2,1,False
"close_backing_store(j_common_ptr,backing_store_ptr)",jmemansi-pre.c,2,1,0,1,0,False
"cmyk_ycck_convert(j_compress_ptr,JSAMPARRAY,JSAMPIMAGE,JDIMENSION,int)",jccolor-pre.c,8,0,0,3,2,False
"color_quantize(j_decompress_ptr,JSAMPARRAY,JSAMPARRAY,int)",jquant1-pre.c,8,0,1,4,3,False
"color_quantize3(j_decompress_ptr,JSAMPARRAY,JSAMPARRAY,int)",jquant1-pre.c,7,0,0,3,2,False
"compress_data(j_compress_ptr,JSAMPIMAGE)",jccoefct-pre.c,22,8,1,12,7,False
"compress_first_pass(j_compress_ptr,JSAMPIMAGE)",jccoefct-pre.c,16,4,2,12,5,False
"compress_output(j_compress_ptr,JSAMPIMAGE)",jccoefct-pre.c,18,8,1,8,5,False
"compress_output(j_compress_ptr,JSAMPIMAGE)",jctrans-pre.c,20,7,2,12,6,False
"compute_color(j_decompress_ptr,boxptr,int)",jquant2-pre.c,12,1,1,5,4,False
consume_data(j_decompress_ptr),jdcoefct-pre.c,19,9,2,9,5,False
consume_markers(j_decompress_ptr),jdinput-pre.c,12,11,1,14,4,False
create_colorindex(j_decompress_ptr),jquant1-pre.c,10,4,2,8,3,False
create_colormap(j_decompress_ptr),jquant1-pre.c,9,10,1,7,4,False
create_context_buffer(j_compress_ptr),jcprepct-pre.c,11,4,0,3,2,True
create_odither_tables(j_decompress_ptr),jquant1-pre.c,6,2,1,5,3,False
"decode_mcu_AC_first(j_decompress_ptr,JBLOCKROW *)",jdarith-pre.c,16,8,3,17,5,False
"decode_mcu_AC_first(j_decompress_ptr,JBLOCKROW *)",jdhuff-pre.c,26,16,2,20,8,False
"decode_mcu_AC_refine(j_decompress_ptr,JBLOCKROW *)",jdarith-pre.c,15,8,3,16,5,False
"decode_mcu_AC_refine(j_decompress_ptr,JBLOCKROW *)",jdhuff-pre.c,27,19,5,39,8,True
"decode_mcu_DC_first(j_decompress_ptr,JBLOCKROW *)",jdarith-pre.c,17,10,2,14,5,False
"decode_mcu_DC_first(j_decompress_ptr,JBLOCKROW *)",jdhuff-pre.c,27,16,2,15,5,True
"decode_mcu_DC_refine(j_decompress_ptr,JBLOCKROW *)",jdarith-pre.c,7,4,1,5,2,True
"decode_mcu_DC_refine(j_decompress_ptr,JBLOCKROW *)",jdhuff-pre.c,17,13,1,8,3,True
"decode_mcu_sub(j_decompress_ptr,JBLOCKROW *)",jdhuff-pre.c,28,16,5,40,7,True
"decode_mcu(j_decompress_ptr,JBLOCKROW *)",jdarith-pre.c,22,10,5,28,6,False
"decode_mcu(j_decompress_ptr,JBLOCKROW *)",jdhuff-pre.c,27,17,5,40,7,True
"decompress_data(j_decompress_ptr,JSAMPIMAGE)",jdcoefct-pre.c,21,4,2,12,3,False
