Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Function,"_jq_memmem(int *,const void *,size_t,const void *,size_t)",util-pre.c,6,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"_jq_path_append(int *,jq_state *,jv,jv,jv)",execute-pre.c,9,0,0,11,4,1,4,4,6,3,3,2,1,2,0
Static Function,"align_round_up(int *,size_t)",execute-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,"args2obj(int *,jv)",execute-pre.c,3,0,0,11,4,1,6,6,6,1,1,0,2,0,0
Static Function,"b2d(int *,struct dtoa_context *,Bigint *,int *)",jv_dtoa-pre.c,7,0,0,4,4,1,6,6,6,1,2,0,1,0,0
Static Function,"Balloc(int *,struct dtoa_context *,int)",jv_dtoa-pre.c,14,0,0,8,2,0,2,2,3,1,1,0,1,0,0
Static Function,"Bfree(int *,struct dtoa_context *,Bigint *)",jv_dtoa-pre.c,12,0,0,5,3,0,3,3,3,1,1,0,2,0,0
Static Function,"bigcomp(int *,struct dtoa_context *,U *,const char *,BCinfo *)",jv_dtoa-pre.c,16,0,0,13,244608,5,30,30,34,18,42,41,4,39,0
Static Function,"bind_alternation_matchers(int *,block,block)",compile-pre.c,10,0,0,23,14,1,7,7,8,1,1,0,2,0,0
Static Function,"bind_bytecoded_builtins(int *,block)",builtin-pre.c,5,0,0,14,4,1,3,3,3,1,0,0,1,0,0
Static Function,"bind_matcher(int *,block,block)",compile-pre.c,8,0,0,4,3,0,3,3,5,1,0,0,2,0,0
Function,"block_append(int *,block *,block)",compile-pre.c,9,0,0,4,3,0,3,3,3,1,1,0,2,0,0
Static Function,"block_bind_each(int *,block,block,int)",compile-pre.c,8,0,0,5,2,0,3,3,3,1,0,0,1,0,0
