Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Function,"_af_adpcm_coder(int *,const int16_t *,uint8_t *,int,int,struct adpcm_state *)",modules_adpcm-pre.c,8,0,0,3,1538,3,14,14,14,1,3,0,2,0,0
Function,"_af_adpcm_decoder(int *,const uint8_t *,int16_t *,int,int,struct adpcm_state *)",modules_adpcm-pre.c,11,0,0,5,140,2,12,12,12,1,2,0,4,0,0
Function,"_af_aifc_get_version(int *,AFfilehandle)",aiff-pre.c,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Function,"_af_aifc_recognize(int *,AFvirtualfile *)",aiff-pre.c,2,0,0,4,3,0,3,3,5,3,2,2,1,2,0
Function,"_af_aiff_complete_setup(int *,AFfilesetup)",aiff-pre.c,22,0,0,6,47,2,19,14,28,13,17,16,3,15,0
Function,"_af_aiff_instparam_valid(int *,AFfilehandle,AUpvlist,int)",aiff-pre.c,3,0,0,4,9,1,11,3,17,9,29,29,1,29,0
Function,"_af_aiff_read_init(int *,AFfilesetup,AFfilehandle)",aiff-pre.c,3,0,0,21,44,2,16,16,23,12,20,20,3,20,0
Function,"_af_aiff_recognize(int *,AFvirtualfile *)",aiff-pre.c,2,0,0,4,3,0,3,3,5,3,2,2,1,2,0
Function,"_af_aiff_update(int *,AFfilehandle)",aiffwrite-pre.c,4,0,0,13,2,0,3,3,3,1,0,0,1,0,0
Function,"_af_aiff_write_init(int *,AFfilesetup,AFfilehandle)",aiffwrite-pre.c,5,0,0,14,7,1,7,7,8,1,2,0,1,0,0
Function,"_af_alaw2linear(int *,unsigned char)",g711-pre.c,2,0,0,1,3,0,4,3,4,1,3,0,1,0,0
Function,"_af_avr_complete_setup(int *,AFfilesetup)",avr-pre.c,18,0,0,6,15,1,11,11,17,11,10,10,2,10,0
Function,"_af_avr_read_init(int *,AFfilesetup,AFfilehandle)",avr-pre.c,8,0,0,31,12,1,11,11,12,9,12,12,1,12,0
Function,"_af_avr_recognize(int *,AFvirtualfile *)",avr-pre.c,2,0,0,4,2,0,2,2,3,1,1,0,1,0,0
Function,"_af_avr_update(int *,AFfilehandle)",avrwrite-pre.c,4,0,0,4,1,0,1,1,1,1,0,0,0,0,0
Function,"_af_avr_write_init(int *,AFfilesetup,AFfilehandle)",avrwrite-pre.c,12,0,0,14,18,1,7,7,7,3,4,2,1,2,0
Function,"_af_byteswap_float32(int *,float)",byteorder-pre.c,3,0,0,2,1,0,1,1,1,1,0,0,0,0,0
Function,"_af_byteswap_int16(int *,uint16_t)",byteorder-pre.c,3,0,0,1,1,0,1,1,1,1,0,0,0,0,0
