Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,INJECTED
Static Function,"add_pair_to_block(int *,EState *)",bzlib-pre.c,8,0,0,5,8,1,5,3,5,1,6,0,1,0,0
Static Function,"addFlagsFromEnvVar(int *,Cell **,Char *)",bzip2-pre.c,5,0,0,5,42,2,9,9,10,4,2,2,4,2,0
Static Function,"applySavedFileAttrToOutputFile(int *,IntNative)",bzip2-pre.c,8,0,0,3,2,0,2,2,2,1,1,0,1,0,0
Static Function,"applySavedTimeInfoToOutputFile(int *,Char *)",bzip2-pre.c,8,0,0,4,2,0,2,2,2,1,1,0,1,0,0
Static Function,"bsFinishWrite(int *,EState *)",compress-pre.c,5,0,0,5,2,0,2,2,2,1,0,0,1,0,0
Static Function,"bsPutUChar(int *,EState *,UChar)",compress-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,"bsPutUInt32(int *,EState *,UInt32)",compress-pre.c,4,0,0,1,1,0,1,1,1,1,0,0,0,0,0
Static Function,"bsW(int *,EState *,Int32,UInt32)",compress-pre.c,10,0,0,5,2,0,2,2,2,1,0,0,1,0,0
Static Function,bz_config_ok(int *),bzlib-pre.c,2,0,0,1,4,1,4,4,4,4,3,3,1,3,0
Function,"BZ2_blockSort(int *,EState *)",blocksort-pre.c,13,0,0,6,294,2,12,12,12,3,3,3,3,2,0
Function,"BZ2_bsInitWrite(int *,EState *)",compress-pre.c,1,0,0,3,1,0,1,1,1,1,0,0,0,0,0
Function,"BZ2_bz__AssertH__fail(int *,int)",bzlib-pre.c,12,0,0,3,2,0,2,2,2,1,0,0,1,0,0
Function,"BZ2_bzBuffToBuffCompress(int *,char *,unsigned int *,char *,unsigned int,int,int,int)",bzlib-pre.c,9,0,0,11,11,1,6,6,14,5,8,4,1,4,0
Function,"BZ2_bzBuffToBuffDecompress(int *,char *,unsigned int *,char *,unsigned int,int,int)",bzlib-pre.c,8,0,0,11,6,1,6,6,12,6,10,7,1,7,0
Function,"BZ2_bzclose(int *,BZFILE *)",bzlib-pre.c,6,0,0,3,7,1,5,5,6,1,2,0,2,0,0
Function,"BZ2_bzCompress(int *,bz_stream *,int)",bzlib-pre.c,13,0,0,5,28,1,19,16,23,18,46,46,2,46,0
Function,"BZ2_bzCompressEnd(int *,bz_stream *)",bzlib-pre.c,10,0,0,4,11,1,7,7,7,4,3,3,1,3,0
Function,"BZ2_bzCompressInit(int *,bz_stream *,int,int,int)",bzlib-pre.c,13,0,0,28,146,2,12,12,18,5,4,4,2,4,0
