Kind,Name,File,CountInput,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
Struct,"_IO_FILE",jfdctflt-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdtrans-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcapimin-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdmerge-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdmainct-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdsample-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jutils-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdpostct-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jchuff-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdatasrc-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdhuff-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jidctflt-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdmaster-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdapimin-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdapistd-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jquant2-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdcoefct-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcmaster-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcmainct-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jccoefct-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcarith-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jfdctfst-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jctrans-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcinit-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jccolor-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcdctmgr-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcsample-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdinput-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jmemansi-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jerror-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcprepct-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jidctint-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdmarker-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jfdctint-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcmarker-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jdcolor-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jcapistd-pre.c,,0,0,,,,,,,,,,0,
Struct,"_IO_FILE",jquant1-pre.c,,0,0,,,,,,,,,,0,
